,['classname , numberOfBugsFoundUntil: , numberOfNonTrivialBugsFoundUntil: , numberOfMajorBugsFoundUntil: , numberOfCriticalBugsFoundUntil: , numberOfHighPriorityBugsFoundUntil: , numberOfVersionsUntil: , numberOfFixesUntil: , numberOfRefactoringsUntil: , numberOfAuthorsUntil: , linesAddedUntil: , maxLinesAddedUntil: , avgLinesAddedUntil: , linesRemovedUntil: , maxLinesRemovedUntil: , avgLinesRemovedUntil: , codeChurnUntil: , maxCodeChurnUntil: , avgCodeChurnUntil: , ageWithRespectTo: , weightedAgeWithRespectTo: , CvsEntropy , CvsWEntropy , CvsLinEntropy , CvsLogEntropy , CvsExpEntropy , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs 
386,['org::eclipse::pde::internal::core::text::bundle::RequiredExecutionEnvironmentHeader ,1,0,0,0,0,17,1,0,4,459,117,27.0,254,97,14.9412,205,117,12.0588,151.143,23.3249,9.64564,0.0678908,0.0266966,0.26411999999999997,0.0479881,7,5,5,2,28,0,1,6,27,8,71,1,0,0,7,17,8,0
387,['org::eclipse::pde::ui::launcher::EquinoxSettingsTab ,1,1,0,0,0,8,0,0,4,8,2,1.0,209,102,26.125,-201,1,-25.125,154.429,82.8214,8.005889999999999,0.0621135,0.0288973,0.236267,0.07033760000000001,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
388,['org::eclipse::pde::internal::ui::editor::contentassist::TypePackageCompletionProcessor ,1,1,0,0,0,15,1,1,3,701,203,46.7333,255,126,17.0,446,203,29.7333,114.0,15.2189,11.0132,0.18601600000000001,0.0362948,0.319893,0.069738,7,1,3,5,105,3,3,0,179,15,6,3,3,0,8,51,41,1
389,['org::eclipse::pde::internal::ui::editor::actions::SortAction ,1,1,0,0,0,11,0,0,3,88,56,8.0,52,23,4.72727,36,48,3.27273,110.14299999999999,17.7208,10.5919,0.0369478,0.030669400000000003,0.29603,0.0493015,8,1,8,0,1,0,4,0,48,2,0,4,0,0,2,9,6,0
390,['org::eclipse::pde::internal::ui::wizards::cheatsheet::RegisterCSWizardPage ,1,1,0,0,0,9,0,0,2,541,418,60.1111,301,143,33.4444,240,354,26.6667,97.4286,14.2345,9.50088,0.16881400000000002,0.031553,0.276775,0.0604422,15,1,0,15,820,2,15,0,387,41,9,10,29,0,12,165,74,0
391,['org::eclipse::ui::internal::views::log::LogSession ,1,1,1,0,0,6,0,0,1,79,40,13.1667,63,32,10.5,16,26,2.66667,49.4286,15.0362,6.6749,0.10538900000000001,0.0821671,0.332866,0.209245,8,3,5,3,21,0,3,1,36,7,14,2,0,0,6,19,9,0
392,['org::eclipse::pde::internal::ui::launcher::OSGiFrameworkBlock ,1,1,0,0,0,10,0,2,3,391,176,39.1,49,29,4.9,342,176,34.2,107.0,7.31129,10.3881,0.0899472,0.0345272,0.30101999999999995,0.0719625,5,1,2,3,15,0,6,0,87,6,6,6,1,0,5,33,12,0
393,['org::eclipse::pde::internal::ui::editor::build::AbstractJavaScanner ,0,0,0,0,0,2,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,150.857,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,2,1,2,0,0,29,2,9,0,0,0,1,16,11,0
394,['org::eclipse::pde::internal::ui::editor::text::PDETextHover ,1,1,1,1,0,8,1,0,5,90,47,11.25,55,27,6.875,35,47,4.375,106.286,29.1524,7.693680000000001,0.0360164,0.0276421,0.22762600000000002,0.0650362,5,1,4,1,10,2,0,0,44,5,6,0,0,0,5,14,11,0
395,['org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSDocumentFactory ,1,0,0,0,0,8,0,0,2,498,358,62.25,518,358,64.75,-20,358,-2.5,59.2857,2.76822,4.41258,0.06656469999999999,0.018583199999999998,0.138856,0.0463837,18,2,1,17,378,0,1,0,194,28,28,1,13,0,14,100,60,0
396,['org::eclipse::pde::internal::ui::views::plugins::PluginsContentProvider ,1,1,0,0,0,7,0,1,3,106,49,15.1429,131,84,18.7143,-25,19,-3.5714300000000003,108.14299999999999,47.5148,7.96788,0.0371273,0.0356692,0.252799,0.0995875,8,2,1,8,21,0,3,0,87,7,9,3,0,0,6,41,33,0
397,['org::eclipse::pde::internal::ui::nls::ModelChangeElement ,1,1,0,0,0,17,0,0,4,308,98,18.1176,67,22,3.94118,241,98,14.1765,154.857,14.3302,9.95543,0.021588800000000002,0.0245355,0.262579,0.0434871,19,1,6,13,66,0,10,0,90,12,6,10,1,0,11,50,22,0
398,['org::eclipse::pde::internal::core::product::ProductObject ,1,1,0,0,0,13,0,1,5,106,40,8.15385,80,25,6.15385,26,39,2.0,191.143,22.1887,12.5339,0.0272541,0.03059,0.32952,0.051991599999999985,13,2,9,4,28,11,2,0,30,8,11,2,0,0,5,18,10,0
399,['org::eclipse::pde::internal::ui::properties::SelfHostingPropertyPage ,1,1,0,0,0,20,0,0,4,117,30,5.85,86,41,4.3,31,14,1.55,224.28599999999997,79.1001,15.9552,0.0210278,0.029741000000000004,0.392385,0.0360891,6,1,1,6,36,0,2,0,104,9,0,2,3,0,4,56,22,0
400,['org::eclipse::pde::internal::core::text::bundle::BundleVersionHeader ,0,0,0,0,0,4,0,0,2,66,32,16.5,2,2,0.5,64,32,16.0,151.0,3.68831,3.3083099999999996,0.00350135,0.0116346,0.0962807,0.031038299999999998,4,5,3,1,3,0,1,4,9,3,64,1,0,0,3,6,3,0
401,['org::eclipse::pde::internal::core::text::ctxhelp::CtxHelpModel ,1,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,33.4286,0.0,0.0,0.0,0.0,0.0,0.0,13,6,12,2,15,0,3,5,28,6,75,3,0,0,3,11,9,0
402,['org::eclipse::pde::internal::ui::editor::PDEMultiPageContentOutline ,1,1,0,0,0,20,1,0,6,272,75,13.6,182,70,9.1,90,43,4.5,335.286,130.877,9.56428,0.012684,0.0200502,0.24021199999999998,0.0345105,6,1,1,5,190,0,8,11,107,20,0,8,2,0,18,49,34,0
403,['org::eclipse::pde::internal::ui::wizards::imports::BinaryProjectFilter ,1,1,0,0,0,16,1,0,7,107,36,6.6875,137,40,8.5625,-30,31,-1.875,328.57099999999997,101.62100000000001,10.8518,0.0290265,0.0274827,0.289639,0.044255699999999995,1,1,0,1,0,0,0,0,15,1,0,0,0,0,1,5,6,0
404,['org::eclipse::pde::internal::ui::editor::plugin::OverviewPage ,1,1,1,1,0,60,1,0,8,877,130,14.6167,790,138,13.1667,87,63,1.45,227.429,90.7566,31.5637,0.19311199999999998,0.0641694,0.7944979999999999,0.0792176,29,3,1,29,190,0,5,0,234,20,37,4,12,0,3,191,58,0
405,['org::eclipse::pde::internal::core::util::PDEJavaHelper ,1,1,0,0,1,6,1,1,3,145,84,24.1667,122,90,20.3333,23,19,3.83333,72.7143,32.3054,4.23308,0.04544459999999999,0.0202982,0.138302,0.05990409999999999,22,1,12,10,91,0,0,0,264,14,6,0,3,0,11,121,76,1
406,['org::eclipse::pde::internal::core::TargetDefinitionManager ,0,0,0,0,0,5,1,0,3,35,22,7.0,24,22,4.8,11,10,2.2,136.286,65.7102,4.50833,0.00438048,0.0137612,0.126122,0.0313699,8,1,4,4,55,0,2,0,101,11,6,1,4,1,7,48,26,0
407,['org::eclipse::pde::internal::core::util::VMUtil ,1,1,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,9.28571,0.0,0.0,0.0,0.0,0.0,0.0,10,1,9,1,36,0,0,0,59,9,6,0,0,0,9,31,18,0
408,['org::eclipse::pde::internal::ui::search::dependencies::GatherUnusedDependenciesOperation ,1,1,0,0,0,12,0,0,3,177,59,14.75,159,104,13.25,18,44,1.5,135.0,40.6538,11.0213,0.0346931,0.029078500000000004,0.298719,0.0456286,19,1,2,17,28,0,2,0,146,8,6,2,4,0,4,91,42,0
409,['org::eclipse::pde::internal::core::text::plugin::PluginElementNode ,1,1,0,0,0,18,1,0,5,469,168,26.0556,101,16,5.61111,368,168,20.4444,151.143,19.3119,12.6078,0.058000699999999995,0.035403,0.348779,0.0564535,15,5,4,11,91,0,2,18,79,14,211,2,0,0,14,55,25,0
410,['org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSDocumentHandler ,1,0,0,0,0,9,0,0,2,268,126,29.7778,327,126,36.3333,-59,126,-6.555560000000002,59.2857,2.71109,4.41258,0.0258538,0.018583199999999998,0.138856,0.0463837,8,3,1,8,36,0,2,2,75,9,54,2,4,0,3,41,17,0
411,['org::eclipse::pde::internal::core::LoadTargetOperation ,1,1,0,0,1,14,0,1,4,224,109,16.0,279,114,19.9286,-55,10,-3.9285699999999997,132.286,74.2283,13.0943,0.175564,0.0551471,0.400439,0.12469000000000001,25,1,0,25,120,0,4,0,281,16,6,4,6,0,4,182,60,1
412,['org::eclipse::pde::internal::ui::editor::PDELauncherFormEditor ,1,0,0,0,0,2,0,0,2,21,21,10.5,26,26,13.0,-5,0,-2.5,56.1429,22.0,1.76682,0.00117226,0.0100966,0.0617154,0.0339284,9,3,3,6,36,2,4,1,133,9,72,0,3,1,2,61,21,1
413,['org::eclipse::pde::internal::core::util::ManifestUtils ,1,1,0,0,0,10,0,0,3,135,87,13.5,133,87,13.3,2,87,0.2,92.7143,11.7185,9.08201,0.0678959,0.0389108,0.28228200000000003,0.102926,7,1,2,5,6,0,0,0,63,4,6,0,1,0,3,27,20,0
414,['org::eclipse::pde::internal::ui::editor::schema::NewCompositorAction ,1,1,0,0,0,18,1,0,8,156,41,8.66667,141,48,7.83333,15,18,0.833333,335.286,194.463,11.7919,0.019927200000000003,0.0255442,0.300092,0.0404153,7,1,1,6,3,0,3,0,58,3,0,3,1,0,2,25,13,0
415,['org::eclipse::pde::internal::core::ExecutionEnvironmentAnalyzer ,1,1,0,0,0,14,2,0,4,248,110,17.7143,150,77,10.7143,98,33,7.0,144.286,27.0668,9.06318,0.0539174,0.025588200000000002,0.24956599999999998,0.0474077,7,1,5,2,28,0,16,0,91,8,6,16,5,0,3,60,41,0
416,['org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSConditionalSubItem ,1,0,0,0,0,9,0,0,2,184,160,20.4444,249,160,27.6667,-65,160,-7.22222,59.2857,0.541925,4.41258,0.0293969,0.018583199999999998,0.138856,0.0463837,3,6,1,2,36,0,1,110,30,9,412,1,0,0,9,17,9,0
417,['org::eclipse::pde::internal::ui::editor::target::TargetProfileWindow ,1,1,0,0,0,14,0,0,3,119,41,8.5,91,55,6.5,28,15,2.0,138.429,43.2557,10.193,0.0218995,0.026468099999999998,0.274414,0.043175300000000014,11,1,1,10,55,0,3,0,178,11,0,2,7,0,3,85,26,1
418,['org::eclipse::pde::internal::ui::wizards::templates::PreprocessorParser ,0,0,0,0,0,13,1,0,7,91,22,7.0,72,21,5.53846,19,12,1.46154,335.286,138.545,6.4156900000000014,0.00333477,0.0163241,0.16933399999999998,0.034356800000000014,11,1,1,10,120,0,23,0,238,16,6,23,12,0,4,81,67,0
419,['org::eclipse::pde::internal::core::PluginPathFinder ,1,1,1,1,0,37,1,0,9,415,64,11.2162,206,52,5.56757,209,47,5.64865,300.0,159.309,22.1232,0.179403,0.167613,4.6253400000000005,0.33361399999999997,17,1,6,11,36,0,2,0,195,9,6,2,5,0,4,112,47,1
420,['org::eclipse::pde::internal::ui::views::dependencies::CalleesListContentProvider ,1,1,0,0,0,6,0,1,2,65,22,10.8333,57,29,9.5,8,16,1.33333,108.14299999999999,43.8527,5.4226800000000015,0.0165156,0.0192198,0.160736,0.04141359999999999,4,4,2,2,6,0,1,0,52,4,18,0,0,1,4,33,18,0
421,['org::eclipse::pde::ui::launcher::EclipseLaunchShortcut ,1,1,1,0,0,19,0,1,4,209,43,11.0,130,51,6.842110000000001,79,40,4.15789,104.429,37.4655,17.5007,0.0843158,0.08273380000000001,0.557642,0.201748,23,2,3,20,78,0,3,0,164,13,13,2,7,0,1,97,52,1
422,['org::eclipse::pde::internal::core::ExternalModelManager ,1,1,1,1,1,68,2,0,8,1072,168,15.7647,1514,501,22.2647,-442,100,-6.5,335.286,95.6461,17.039,0.12754200000000002,0.0366884,0.4360479999999999,0.0453971,10,2,2,8,10,0,1,0,53,5,11,1,0,0,2,31,14,1
423,['org::eclipse::pde::internal::ui::editor::target::ContentSection ,1,1,1,0,0,29,1,0,6,501,133,17.2759,386,178,13.3103,115,26,3.9655199999999997,144.0,58.3305,21.326,0.1339,0.0689832,0.606667,0.143122,43,5,8,36,528,0,10,2,520,33,72,9,16,0,7,276,118,0
424,['org::eclipse::pde::internal::ui::search::BaseSearchAction ,0,0,0,0,0,6,0,0,4,17,10,2.83333,7,3,1.16667,10,10,1.66667,201.28599999999997,45.0252,6.4156900000000014,0.00319309,0.0163241,0.16933399999999998,0.034356800000000014,0,1,0,0,3,2,0,0,7,3,0,0,0,0,2,6,2,0
425,['org::eclipse::pde::internal::core::text::plugin::PluginLibraryNode ,1,0,0,0,0,6,0,0,3,491,225,81.8333,36,27,6.0,455,225,75.8333,151.143,9.49287,4.6939,0.027983299999999996,0.0164982,0.13764200000000001,0.0399091,8,4,2,6,136,0,1,18,124,17,184,1,0,0,17,81,42,0
426,['org::eclipse::pde::internal::core::schema::SchemaInclude ,0,0,0,0,0,18,1,0,7,150,49,8.33333,92,54,5.11111,58,42,3.22222,295.0,74.8924,10.2088,0.00843235,0.0203995,0.254071,0.031514299999999995,11,3,2,10,28,0,4,6,55,8,32,4,1,0,7,26,15,0
427,['org::eclipse::pde::internal::core::schema::SchemaElementHandler ,1,1,0,0,0,4,0,0,3,29,18,7.25,35,19,8.75,-6,0,-1.5,111.0,48.1281,3.82071,0.00517985,0.013404499999999998,0.112153,0.0319774,4,2,1,3,21,0,5,1,49,7,36,5,0,0,5,20,15,0
428,['org::eclipse::pde::internal::ui::editor::contentassist::XMLInsertionComputer ,1,1,0,0,0,13,0,0,3,274,153,21.0769,168,109,12.9231,106,125,8.15385,112.0,31.1548,10.2464,0.075869,0.030942700000000004,0.289839,0.0531628,22,1,3,19,105,0,0,0,290,15,6,0,0,0,4,124,82,0
429,['org::eclipse::pde::internal::core::variables::TargetOSArchVariableResolver ,1,1,1,0,0,2,0,0,2,1,1,0.5,2,2,1.0,-1,0,-0.5,69.0,32.8571,1.77712,0.000116839,0.00961856,0.0609203,0.0309529,1,1,0,1,0,0,0,0,3,1,6,0,0,0,1,2,1,0
430,['org::eclipse::pde::internal::ui::editor::GenericSourcePage ,1,1,0,0,0,9,0,0,6,49,14,5.44444,30,9,3.33333,19,10,2.11111,227.429,88.0379,9.23472,0.00775232,0.0220921,0.24180100000000002,0.0367513,1,2,1,0,15,0,0,0,18,6,56,0,0,0,5,6,6,0
431,['org::eclipse::pde::internal::ui::editor::FormOutlinePage ,1,1,0,0,0,28,2,0,7,422,116,15.0714,289,96,10.3214,133,33,4.75,335.286,167.299,19.7652,0.049699099999999996,0.0408245,0.500969,0.0477095,19,2,14,8,153,11,6,1,141,18,4,3,1,0,14,63,43,0
432,['org::eclipse::pde::internal::core::exports::PluginExportOperation ,1,1,0,0,0,3,0,0,2,45,38,15.0,15,14,5.0,30,37,10.0,128.143,64.1333,3.23696,0.0103546,0.0137275,0.10180499999999999,0.0355765,7,3,2,5,6,0,0,8,29,4,36,0,0,0,1,16,10,0
433,['org::eclipse::pde::internal::ui::editor::PDEDropAdapter ,1,0,0,0,0,2,0,0,2,24,24,12.0,25,25,12.5,-1,0,-0.5,55.1429,21.0,1.76682,0.00122215,0.0100966,0.0617154,0.0339284,5,1,1,4,36,0,3,0,114,9,0,3,0,0,3,30,26,0
434,['org::eclipse::pde::internal::ui::commands::CommandView ,1,1,0,0,0,6,0,0,2,17,9,2.83333,17,9,2.83333,0,1,0.0,104.85700000000001,40.4622,4.57426,0.00349589,0.0157901,0.133715,0.0362297,1,1,0,1,21,0,1,0,23,7,0,1,0,0,7,14,7,0
435,['org::eclipse::pde::internal::core::text::ctxhelp::CtxHelpDocumentHandler ,1,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,33.4286,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,2,3,0,1,2,10,3,54,1,0,0,1,6,3,0
436,['org::eclipse::pde::internal::ui::editor::text::BasePDEScanner ,0,0,0,0,0,5,0,0,2,212,76,42.4,40,31,8.0,172,76,34.4,148.429,16.8288,3.26332,0.02535,0.0121046,0.0964264,0.0340244,10,1,6,4,36,5,1,0,51,9,0,1,0,0,4,31,15,0
437,['org::eclipse::pde::internal::runtime::spy::SpyIDEUtil ,1,1,0,0,0,7,0,0,1,43,11,6.14286,20,12,2.8571400000000002,23,11,3.28571,52.4286,18.3954,5.0575800000000015,0.0182673,0.0313161,0.180782,0.10687,4,1,1,3,3,0,0,0,38,3,6,0,0,0,3,18,7,0
438,['org::eclipse::pde::internal::core::cheatsheet::comp::CompCS ,1,1,0,0,0,5,0,0,3,27,17,5.4,24,22,4.8,3,8,0.6,102.0,44.6085,6.12275,0.00653064,0.020705,0.17916300000000002,0.04143,10,4,1,9,120,0,3,62,93,16,57,3,0,0,11,42,24,0
439,['org::eclipse::pde::internal::ui::editor::plugin::JarSelectionValidator ,0,0,0,0,0,9,1,0,5,71,49,7.888889999999999,71,60,7.888889999999999,0,10,0.0,227.429,145.65,9.31549,0.00598493,0.0210053,0.23947399999999996,0.035267800000000016,3,1,1,2,6,1,2,0,38,4,6,2,1,0,3,12,12,0
440,['org::eclipse::pde::internal::runtime::registry::ParentAdapter ,0,0,0,0,0,3,0,0,2,4,4,1.33333,0,0,0.0,4,4,1.33333,381.0,0.571429,0.0,0.0,0.0,0.0,0.0,2,2,2,0,3,6,1,0,8,3,2,0,0,1,2,4,3,0
441,['org::eclipse::pde::internal::ui::parts::FormEntry ,1,1,0,0,0,33,0,0,7,377,136,11.4242,256,76,7.75758,121,60,3.66667,227.429,96.3914,18.7155,0.0923441,0.038688199999999985,0.4733890000000001,0.047615199999999996,68,1,66,2,153,1,8,0,196,18,6,6,5,1,13,61,54,0
442,['org::eclipse::pde::internal::core::schema::SchemaDescriptor ,0,0,0,0,0,6,1,0,4,26,10,4.33333,13,5,2.16667,13,10,2.16667,197.429,51.2363,7.805510000000001,0.00553249,0.0176486,0.20034100000000002,0.0314537,7,1,5,2,15,0,5,0,33,6,11,5,0,0,6,13,12,0
443,['org::eclipse::pde::internal::ui::wizards::exports::AntGeneratingExportWizard ,1,1,0,0,0,7,0,0,4,287,100,41.0,24,15,3.4285699999999997,263,100,37.5714,140.0,35.4629,6.08968,0.201236,0.03630899999999999,0.20578600000000002,0.10912999999999999,15,2,2,13,28,2,1,12,112,8,11,0,1,0,1,78,32,1
444,['org::eclipse::pde::internal::core::feature::FeatureInstallHandler ,0,0,0,0,0,14,1,0,6,96,33,6.8571399999999985,114,46,8.14286,-18,10,-1.2857100000000001,335.286,79.6012,5.4727,0.00869213,0.0136179,0.142564,0.030993299999999998,4,3,2,2,28,0,3,8,41,8,55,3,0,0,7,22,11,0
445,['org::eclipse::pde::internal::core::text::NodeDocumentHandler ,1,0,0,0,0,7,0,0,2,162,139,23.1429,163,139,23.2857,-1,139,-0.14285699999999998,58.4286,1.7866,3.8069,0.029436700000000003,0.016629400000000003,0.12122000000000001,0.043368199999999996,8,2,1,7,21,3,1,2,81,7,47,1,0,0,1,41,19,0
446,['org::eclipse::ui::internal::views::log::LogView ,1,1,1,0,0,33,0,0,2,1008,227,30.5455,487,150,14.7576,521,189,15.7879,49.4286,12.8822,13.0688,0.39332399999999995,0.13859000000000002,0.5939909999999999,0.403804,36,1,6,35,3003,0,55,0,1326,78,0,34,52,2,15,461,235,1
447,['org::eclipse::pde::internal::ui::editor::SystemFileMarkerAnnotationModel ,0,0,0,0,0,9,1,0,6,30,10,3.33333,181,156,20.1111,-151,0,-16.7778,305.143,91.2428,7.00075,0.0376037,0.01696,0.182272,0.0343634,2,1,2,0,10,0,0,0,10,5,0,0,0,0,1,5,4,0
448,['org::eclipse::pde::internal::core::text::DocumentNodeFactory ,1,0,0,0,0,7,0,0,2,93,78,13.2857,98,78,14.0,-5,78,-0.714286,58.4286,1.41321,3.8069,0.0164865,0.016629400000000003,0.12122000000000001,0.043368199999999996,9,1,3,6,10,3,0,0,29,5,9,0,0,0,4,15,5,0
449,['org::eclipse::pde::internal::ui::editor::plugin::PackageSelectionDialog ,0,0,0,0,0,22,0,2,5,71,15,3.22727,144,45,6.54545,-73,10,-3.3181800000000004,227.429,72.1871,17.842,0.0237447,0.0357579,0.44694799999999996,0.045292800000000015,2,1,1,1,1,0,0,0,12,2,0,0,0,0,1,5,2,0
450,['org::eclipse::pde::internal::ui::editor::cheatsheet::comp::actions::CompCSAddTaskAction ,1,1,0,0,0,3,0,0,2,11,8,3.66667,12,11,4.0,-1,2,-0.333333,98.0,55.8701,3.1496,0.00167152,0.014346200000000002,0.10141900000000001,0.0398337,5,2,1,4,1,0,0,1,20,2,3,0,0,0,2,10,5,0
451,['org::eclipse::pde::internal::ui::editor::feature::DataPortabilitySection ,1,1,0,0,0,8,0,0,5,83,44,10.375,125,74,15.625,-42,5,-5.25,188.429,97.2702,8.51102,0.0154047,0.0216282,0.22564800000000002,0.0401432,11,3,0,11,231,1,5,0,277,22,21,5,7,0,15,107,54,0
452,['org::eclipse::pde::internal::core::site::SiteFeature ,0,0,0,0,0,17,1,0,7,290,162,17.0588,128,36,7.52941,162,126,9.52941,302.57099999999997,61.6778,8.14056,0.00670645,0.0177707,0.20672800000000002,0.031407,16,5,2,14,276,0,9,20,191,24,90,9,0,0,22,116,60,0
453,['org::eclipse::pde::internal::ui::editor::target::EnvironmentSection ,1,1,0,0,0,12,0,0,5,197,60,16.4167,132,73,11.0,65,51,5.41667,144.286,71.876,9.57998,0.0674326,0.0291849,0.2679,0.06350599999999999,15,3,1,14,78,0,9,0,233,13,21,9,7,0,4,84,30,1
454,['org::eclipse::pde::internal::ui::views::dependencies::DependenciesViewComparator ,1,1,0,0,0,3,0,1,1,12,9,4.0,14,11,4.66667,-2,0,-0.666667,74.0,30.0714,3.20019,0.00215627,0.013919999999999998,0.10126399999999999,0.0376601,4,1,2,2,6,0,1,0,23,4,0,1,2,0,2,12,9,0
455,['org::eclipse::pde::internal::ui::wizards::feature::BasePluginListPage ,1,1,0,0,0,7,0,0,5,16,5,2.28571,20,5,2.8571400000000002,-4,0,-0.571429,226.571,93.5,8.04434,0.00534711,0.0180291,0.205054,0.0343696,4,1,0,4,6,1,1,0,18,4,0,0,0,0,4,15,5,0
456,['org::eclipse::pde::internal::ui::editor::site::SiteInputContextManager ,0,0,0,0,0,7,0,0,4,21,10,3.0,23,16,3.28571,-2,10,-0.28571399999999997,227.429,26.0408,4.64887,0.00236185,0.00622749,0.107619,0.000428437,2,2,1,1,3,0,0,0,10,3,29,0,1,0,2,6,4,0
457,['org::eclipse::pde::internal::ui::editor::build::BuildSourcePage ,1,1,0,0,0,24,1,0,8,247,59,10.2917,119,28,4.95833,128,46,5.33333,335.286,172.44400000000002,13.9484,0.0308673,0.0325538,0.363242,0.0500639,18,4,4,14,45,0,0,0,54,10,72,0,1,0,7,31,19,1
458,['org::eclipse::pde::internal::core::plugin::AttributeChangedEvent ,0,0,0,0,0,14,1,0,7,37,8,2.6428599999999998,35,7,2.5,2,4,0.14285699999999998,335.286,125.417,7.95718,0.00345971,0.0178621,0.203899,0.0314667,2,2,2,0,1,0,2,4,7,2,19,1,0,0,2,2,2,0
459,['org::eclipse::pde::internal::ui::util::PixelConverter ,1,1,0,0,0,9,1,0,6,27,8,3.0,27,8,3.0,0,4,0.0,335.286,145.683,7.47927,0.00384683,0.0178894,0.19451500000000002,0.0345277,1,1,1,0,10,0,1,0,18,5,6,1,0,0,5,11,5,0
460,['org::eclipse::pde::ui::launcher::PDESourcePathProvider ,0,0,0,0,0,6,1,2,2,94,73,15.6667,94,67,15.6667,0,6,0.0,104.429,10.4073,6.2619099999999985,0.031058799999999998,0.021583,0.184027,0.0450535,4,1,0,4,10,0,1,0,57,5,0,0,3,0,2,36,15,0
461,['org::eclipse::pde::internal::ui::editor::cheatsheet::comp::details::CompCSIntroductionTextListener ,1,1,0,0,0,5,0,0,2,68,35,13.6,33,22,6.6,35,33,7.0,98.0,36.8887,4.8261699999999985,0.0169117,0.0189773,0.148137,0.0447448,7,1,1,6,45,0,2,0,67,10,6,2,4,0,6,26,16,0
462,['org::eclipse::pde::internal::ui::templates::Activator ,1,0,0,0,0,2,0,1,2,4,4,2.0,4,4,2.0,0,0,0.0,95.5714,58.5714,1.56044,0.00133023,0.00803114,0.052585599999999996,0.0247077,1,1,1,0,10,0,1,0,17,5,0,1,0,0,5,11,5,0
463,['org::eclipse::pde::internal::ui::editor::feature::InfoFormPage ,1,1,0,0,0,19,1,0,8,121,54,6.3684199999999995,72,19,3.7894699999999997,49,42,2.57895,335.286,155.97799999999998,11.0669,0.011136100000000001,0.026446800000000003,0.28965799999999997,0.043093300000000015,6,2,1,5,10,0,3,0,27,5,28,2,0,0,3,17,5,0
464,['org::eclipse::pde::internal::ui::editor::plugin::CreateManifestOperation ,1,1,0,0,0,15,0,0,4,267,111,17.8,48,32,3.2,219,111,14.6,181.429,17.7892,16.6139,0.027919,0.0408209,0.43976000000000004,0.0638822,5,1,1,4,15,0,1,0,73,6,6,1,4,0,2,43,18,0
465,['org::eclipse::pde::internal::ui::elements::DefaultContentProvider ,1,1,0,0,0,6,1,0,5,27,11,4.5,16,6,2.66667,11,6,1.83333,335.286,131.069,5.653580000000002,0.00474994,0.0076904,0.13134,0.000587423,0,1,0,0,3,46,0,0,7,3,6,0,0,0,3,3,3,0
466,['org::eclipse::pde::internal::ui::util::FileExtensionsFilter ,1,0,0,0,0,2,0,0,2,9,9,4.5,14,14,7.0,-5,0,-2.5,52.0,17.8571,1.76682,0.0005736609999999999,0.0100966,0.0617154,0.0339284,4,1,3,1,10,0,1,0,52,5,0,1,2,0,3,17,13,0
467,['org::eclipse::pde::internal::ui::wizards::product::SynchronizationOperation ,1,1,1,0,0,15,0,0,6,91,29,6.0666699999999985,42,15,2.8,49,29,3.26667,187.429,34.696999999999996,16.6315,0.019306200000000003,0.03819280000000001,0.43058100000000005,0.060089699999999996,7,3,2,5,10,0,0,2,32,5,15,0,3,0,2,24,9,1
468,['org::eclipse::pde::internal::ui::editor::validation::ControlValidationUtility ,1,0,0,0,0,3,0,1,3,44,42,14.6667,83,75,27.6667,-39,0,-13.0,83.8571,47.96100000000001,3.2591,0.00533646,0.014137899999999998,0.10305999999999998,0.038045800000000005,9,1,0,9,15,0,0,0,106,6,6,0,0,0,6,32,22,0
469,['org::eclipse::pde::internal::ui::util::PDEJavaHelperUI ,1,1,1,1,0,6,0,1,3,83,43,13.8333,102,86,17.0,-19,12,-3.16667,72.7143,39.4028,4.36826,0.0124601,0.0285572,0.159775,0.10271,18,1,5,13,21,0,1,0,169,7,6,1,2,0,5,77,30,0
470,['org::eclipse::pde::internal::ui::editor::build::BuildInputContext ,1,1,1,0,0,19,0,0,6,115,23,6.0526300000000015,96,34,5.0526300000000015,19,11,1.0,227.429,81.3491,12.7082,0.0161854,0.024022400000000003,0.312137,0.0346074,14,2,5,9,45,0,2,1,86,10,39,1,3,0,3,59,20,1
471,['org::eclipse::pde::internal::core::feature::FeatureData ,1,1,0,0,0,16,1,0,8,123,23,7.6875,103,28,6.4375,20,22,1.25,335.286,134.844,8.45689,0.029387200000000002,0.021590900000000003,0.22438899999999998,0.0420471,10,4,3,7,231,1,7,15,131,22,73,7,1,0,18,80,33,0
