,classname,numberOfBugsFoundUntil, numberOfNonTrivialBugsFoundUntil: , numberOfMajorBugsFoundUntil: , numberOfCriticalBugsFoundUntil: , numberOfHighPriorityBugsFoundUntil: ,numberOfVersionsUntil, numberOfFixesUntil: , numberOfRefactoringsUntil: , numberOfAuthorsUntil: , linesAddedUntil: , maxLinesAddedUntil: , avgLinesAddedUntil: , linesRemovedUntil: , maxLinesRemovedUntil: , avgLinesRemovedUntil: , codeChurnUntil: , maxCodeChurnUntil: , avgCodeChurnUntil: , ageWithRespectTo: , weightedAgeWithRespectTo: , CvsEntropy , CvsWEntropy , CvsLinEntropy , CvsLogEntropy , CvsExpEntropy , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc ,bugs, nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs 
237,['org::eclipse::pde::internal::core::schema::RepeatableSchemaObject ,1,1,0,0,0,10,1,0,8,56,33,5.6,42,27,4.2,14,6,1.4,335.286,221.936,7.6507,0.00633243,0.0206492,0.206349,0.0419545,5,3,3,2,21,2,5,3,25,7,24,3,0,0,7,13,7,0,0,0,0,0
238,['org::eclipse::pde::internal::core::plugin::PluginParent ,5,5,0,0,0,23,3,0,9,189,74,8.21739,151,71,6.56522,38,18,1.65217,335.286,168.672,17.0076,0.0395573,0.0417645,0.449897,0.0654593,5,4,2,3,55,2,2,7,65,11,78,1,0,0,8,45,21,0,0,0,0,0
239,['org::eclipse::pde::internal::ui::search::dependencies::DependencyExtentAction ,0,0,0,0,0,7,0,0,4,15,5,2.14286,18,6,2.57143,-3,0,-0.428571,201.286,82.7238,7.72196,0.00356641,0.0177746,0.198359,0.0343746,3,1,2,1,1,0,2,0,9,2,0,2,0,0,2,5,2,0,0,0,0,0
240,['org::eclipse::pde::internal::ui::views::dependencies::OpenPluginReferencesAction ,2,2,0,0,0,2,0,0,1,5,5,2.5,6,6,3,-1,0,-0.5,72.1429,38,1.76682,0.000274359,0.0100966,0.0617154,0.0339284,4,1,2,2,1,0,1,0,11,2,0,1,0,0,2,6,2,0,0,0,0,0
241,['org::eclipse::pde::internal::core::search::PluginSearchScope ,5,5,0,0,0,20,2,0,6,159,56,7.95,118,44,5.9,41,52,2.05,306.143,70.6496,14.0791,0.0127675,0.0384387,0.38395,0.0675978,8,1,6,2,10,1,9,0,30,5,6,3,0,0,2,21,12,0,0,0,0,0
242,['org::eclipse::ui::internal::views::log::TailInputStream ,0,0,0,0,0,2,0,0,1,4,4,2,4,4,2,0,0,0,49.4286,13,1.77712,0.000311572,0.00961856,0.0609203,0.0309529,3,1,1,2,6,0,2,0,23,4,15,2,1,0,3,13,8,0,0,0,0,0
243,['org::eclipse::pde::ui::templates::BlankField ,1,1,0,0,0,2,0,0,2,5,5,2.5,5,5,2.5,0,0,0,135,100.857,1.76682,0.000249418,0.0100966,0.0617154,0.0339284,2,3,1,1,3,0,5,0,14,3,23,5,1,0,2,8,3,0,0,0,0,0
244,['org::eclipse::pde::ui::launcher::OSGiSettingsTab ,3,2,0,0,0,10,0,0,4,301,140,30.1,22,16,2.2,279,140,27.9,107.857,8.43901,10.4245,0.0876052,0.0711615,0.377147,0.188775,4,2,1,3,55,1,4,0,53,11,6,4,0,0,11,26,13,0,0,0,0,0
245,['org::eclipse::pde::internal::ui::wizards::cheatsheet::SimpleCSCreationOperation ,4,2,0,0,0,6,0,0,3,27,15,4.5,29,22,4.83333,-2,3,-0.333333,98.8571,50.9947,7.44245,0.00535825,0.0263275,0.221039,0.0545804,10,2,0,10,3,0,0,1,34,3,4,0,0,0,1,23,3,0,0,0,0,0
246,['org::eclipse::pde::internal::ui::refactoring::FindReferenceOperation ,2,2,0,0,0,3,0,1,1,55,36,18.3333,40,31,13.3333,15,27,5,71.8571,13.4026,3.27147,0.0111909,0.0142219,0.103547,0.0382643,7,1,2,5,15,0,3,0,76,6,6,3,3,0,3,44,21,0,0,0,0,0
247,['org::eclipse::pde::internal::core::target::TargetModelFactory ,0,0,0,0,0,10,0,0,3,54,15,5.4,9,4,0.9,45,15,4.5,144.857,9.12963,6.61569,0.00827103,0.0166424,0.175221,0.0315184,10,1,1,9,45,0,1,0,30,10,15,1,0,0,10,19,10,0,0,0,0,0
248,['org::eclipse::pde::internal::ui::editor::plugin::JavaAttributeValue ,0,0,0,0,0,6,0,0,4,26,17,4.33333,23,14,3.83333,3,3,0.5,227.429,146.115,6.41569,0.00324957,0.0163241,0.169334,0.0343568,6,2,5,1,6,0,2,0,14,4,10,2,0,0,4,5,4,0,0,0,0,0
249,['org::eclipse::pde::internal::ui::tests::macro::EditorCommandTarget ,0,0,0,0,0,4,0,0,3,6,3,1.5,6,3,1.5,0,0,0,183.857,116.833,4.68802,0.0043104,0.0163329,0.13759,0.0373153,2,2,1,1,3,0,0,0,11,3,11,0,0,0,3,6,3,0,0,0,0,0
250,['org::eclipse::pde::internal::ui::editor::plugin::ManifestEditorMatchingStrategy ,5,5,0,0,0,16,1,0,3,127,54,7.9375,95,65,5.9375,32,33,2,177.143,103.288,14.6314,0.0223238,0.036613,0.388401,0.0612663,1,1,0,1,0,0,0,0,52,1,6,0,0,0,1,25,17,0,0,0,0,0
251,['org::eclipse::pde::internal::ui::editor::plugin::rows::BooleanAttributeRow ,3,3,0,0,0,14,0,0,6,109,19,7.78571,194,81,13.8571,-85,16,-6.07143,227.429,27.6356,8.04434,0.00636456,0.0180291,0.205054,0.0343696,4,3,0,4,6,0,0,7,18,4,33,0,0,0,2,11,9,0,0,0,0,0
252,['org::eclipse::pde::internal::core::schema::SchemaSimpleType ,0,0,0,0,0,12,1,0,7,75,41,6.25,55,28,4.58333,20,13,1.66667,335.286,79.4971,6.42599,0.0033111,0.0158461,0.168539,0.0313813,9,2,1,8,10,0,3,0,32,5,26,2,0,0,5,17,10,0,0,0,0,0
253,['org::eclipse::pde::internal::ui::templates::ide::HelpNewWizard ,2,0,0,0,0,2,0,1,2,2,2,1,2,2,1,0,0,0,95.5714,58.5714,1.56044,0.000665113,0.00803114,0.0525856,0.0247077,2,6,0,2,1,0,0,0,7,2,20,0,0,0,2,5,2,0,0,0,0,0
254,['org::eclipse::pde::core::plugin::TargetPlatform ,6,4,1,1,0,13,0,0,3,184,48,14.1538,68,16,5.23077,116,48,8.92308,85.2857,13.2958,8.84204,0.0876132,0.0628371,0.325697,0.158513,50,1,46,5,78,0,5,0,66,13,6,5,1,0,12,40,23,1,0,0,0,0
255,['org::eclipse::pde::internal::ui::editor::feature::PluginPortabilitySection ,0,0,0,0,0,4,0,0,3,8,4,2,13,7,3.25,-5,0,-1.25,188.429,24.5714,4.75414,0.0028054,0.0133458,0.127787,0.0339624,1,4,1,0,0,0,0,0,3,1,36,0,0,0,1,1,1,0,0,0,0,0
256,['org::eclipse::pde::internal::ui::tests::macro::IndexWizard ,0,0,0,0,0,4,0,0,3,7,4,1.75,9,5,2.25,-2,0,-0.5,183.857,135.143,4.68802,0.00432853,0.0163329,0.13759,0.0373153,3,1,1,2,3,0,2,0,15,3,0,2,0,0,3,9,4,0,0,0,0,0
257,['org::eclipse::pde::internal::ui::editor::feature::SynchronizeVersionsAction ,1,1,0,0,0,18,1,0,7,122,43,6.77778,146,47,8.11111,-24,6,-1.33333,335.286,105.317,7.7645,0.00538474,0.0178722,0.199447,0.0344574,5,1,1,4,6,0,1,0,29,4,0,1,1,0,3,19,4,0,0,0,0,0
258,['org::eclipse::pde::internal::ui::editor::product::ProductLauncherFormPageHelper ,1,0,0,0,0,2,0,0,2,11,11,5.5,5,5,2.5,6,6,3,56.1429,22,1.76682,0.000399068,0.0100966,0.0617154,0.0339284,9,1,2,7,15,0,1,0,31,6,9,0,0,1,6,21,8,0,0,0,0,0
259,['org::eclipse::pde::internal::ui::views::dependencies::DependenciesViewPageContentProvider ,3,3,0,0,0,5,0,1,2,73,54,14.6,52,23,10.4,21,31,4.2,108.143,36.6458,4.63681,0.0323862,0.0170151,0.13874,0.0389926,9,2,1,8,28,2,2,0,78,8,10,2,2,0,6,33,20,0,0,0,0,0
260,['org::eclipse::pde::internal::core::builders::PluginBaseErrorReporter ,3,2,0,0,0,6,0,0,4,35,28,5.83333,39,33,6.5,-4,1,-0.666667,133.571,85.5837,7.722,0.00617739,0.0228127,0.216467,0.0404622,12,4,2,10,45,2,0,5,130,10,80,0,1,0,2,91,44,0,0,0,0,0
261,['org::eclipse::pde::internal::ui::editor::text::PDESourceInfoProvider ,3,1,0,0,0,3,0,0,3,27,22,9,30,17,10,-3,5,-1,92.2857,56.963,1.77712,0.00221995,0.00961856,0.0609203,0.0309529,4,1,1,3,6,0,1,0,39,4,6,1,0,0,4,11,10,0,0,0,0,0
262,['org::eclipse::pde::internal::core::schema::ChoiceRestriction ,0,0,0,0,0,15,1,0,7,153,94,10.2,140,86,9.33333,13,8,0.866667,335.286,79.2708,6.42599,0.00422373,0.0158461,0.168539,0.0313813,12,3,3,9,45,0,4,5,79,10,32,3,0,0,10,46,25,0,0,0,0,0
263,['org::eclipse::pde::ui::launcher::EquinoxPluginsTab ,2,1,1,1,0,12,0,0,3,384,199,32,368,176,30.6667,16,199,1.33333,155.429,4.52827,9.00686,0.127777,0.0297572,0.257634,0.0701123,1,3,0,1,0,0,0,1,3,1,17,0,0,0,1,2,1,0,0,0,0,0
264,['org::eclipse::pde::internal::core::site::Site ,2,2,1,0,0,19,1,0,7,157,35,8.26316,120,47,6.31579,37,23,1.94737,302.571,118.944,11.1262,0.0143355,0.0212689,0.273849,0.0314792,16,3,3,13,325,0,9,10,204,26,69,8,2,0,21,136,56,1,0,0,0,0
265,['org::eclipse::pde::internal::ui::wizards::imports::FeatureImportWizardPage ,3,3,0,0,0,8,1,0,3,180,119,22.5,202,109,25.25,-22,10,-2.75,132.429,26.9929,7.08227,0.0588443,0.0194478,0.193119,0.0363101,19,1,2,18,276,0,13,0,320,24,0,13,13,0,11,150,67,2,0,0,0,0
266,['org::eclipse::pde::internal::ui::parts::ConditionalListSelectionDialog ,2,1,0,0,0,4,1,0,3,19,10,4.75,13,12,3.25,6,10,1.5,127.286,42.6316,4.2852,0.00388015,0.0145559,0.124116,0.0349831,4,1,3,1,6,0,3,0,36,4,0,3,0,0,3,9,5,0,0,0,0,0
267,['org::eclipse::pde::internal::core::util::CoreUtility ,5,5,1,0,0,25,0,2,5,438,65,17.52,209,52,8.36,229,65,9.16,176.714,29.349,21.0564,0.15206,0.0419265,0.5292,0.0448998,43,1,30,13,45,0,0,0,196,10,6,0,0,0,10,70,42,2,0,1,0,0
268,['org::eclipse::pde::internal::ui::wizards::plugin::LibraryPluginFieldData ,4,3,0,0,0,8,0,0,3,51,24,6.375,11,5,1.375,40,21,5,182,90.619,7.08978,0.0147344,0.0245508,0.207289,0.0569088,4,3,4,0,55,0,5,0,30,11,70,5,0,0,11,11,10,0,0,0,0,0
269,['org::eclipse::pde::internal::ui::wizards::feature::AbstractCreateFeatureOperation ,2,2,0,0,0,6,1,0,2,92,51,15.3333,127,68,21.1667,-35,10,-5.83333,133.429,28.9488,5.13272,0.0253728,0.0152009,0.142065,0.0344409,20,1,0,20,28,2,4,0,132,8,0,1,1,0,1,83,23,0,0,0,0,0
270,['org::eclipse::pde::internal::ui::commands::CommandTreeContentProvider ,0,0,0,0,0,3,0,0,2,22,12,7.33333,15,15,5,7,10,2.33333,104.857,44.1558,3.17095,0.00260645,0.0131168,0.0982862,0.0354147,3,1,1,2,45,0,7,0,89,10,6,5,1,0,9,32,23,0,0,0,0,0
271,['org::eclipse::pde::internal::ui::editor::text::XMLTagRule ,0,0,0,0,0,10,0,0,6,89,77,8.9,150,59,15,-61,58,-6.1,241,92.0546,8.62632,0.0159929,0.0193103,0.220689,0.0345061,1,1,1,0,1,0,0,0,22,2,0,0,0,0,1,6,6,0,0,0,0,0
272,['org::eclipse::pde::internal::ui::search::dependencies::ShowResultsAction ,2,2,0,0,0,13,0,0,4,87,48,6.69231,46,15,3.53846,41,42,3.15385,201.286,35.179,15.0796,0.0133642,0.0326646,0.385503,0.0449413,3,1,1,2,3,0,3,0,41,3,0,2,1,1,2,16,5,0,0,0,0,0
273,['org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSRunObject ,1,1,0,0,0,2,0,0,2,2,2,1,3,3,1.5,-1,0,-0.5,52.4286,16.2857,1.77712,0.000194732,0.00961856,0.0609203,0.0309529,2,6,0,2,36,2,1,110,27,9,415,1,0,0,9,17,9,0,0,0,0,0
274,['org::eclipse::pde::internal::core::util::SAXParserWrapper ,1,0,0,0,0,2,0,0,2,9,9,4.5,9,9,4.5,0,0,0,116.143,80,1.77712,0.000701036,0.00961856,0.0609203,0.0309529,11,1,8,3,6,0,2,0,17,4,6,0,0,0,3,11,5,0,0,0,0,0
275,['org::eclipse::pde::internal::ui::preferences::TargetPlatformPreferenceNode ,0,0,0,0,0,9,0,0,5,24,9,2.66667,26,9,2.88889,-2,4,-0.222222,239,75.1845,7.00075,0.00352932,0.01696,0.182272,0.0343634,3,1,1,2,66,2,1,0,34,12,6,0,0,0,11,17,12,1,0,0,0,0
276,['org::eclipse::pde::internal::ui::util::StringMatcher ,1,0,0,0,0,3,0,0,2,113,112,37.6667,104,103,34.6667,9,9,3,92.2857,57.8622,3.36633,0.00662961,0.0148684,0.107253,0.0401211,5,1,1,4,36,0,9,0,257,9,6,0,2,0,3,65,81,0,0,0,0,0
277,['org::eclipse::pde::internal::ui::tests::macro::MacroUtil ,0,0,0,0,0,5,0,0,3,347,236,69.4,310,241,62,37,38,7.4,183.857,102.326,5.45209,0.0420761,0.0139186,0.143516,0.0310417,24,1,11,14,666,0,1,0,644,37,6,1,23,0,13,305,168,0,0,0,0,0
278,['org::eclipse::pde::internal::core::plugin::WorkspacePluginModel ,4,4,0,0,0,12,2,0,7,43,17,3.58333,33,12,2.75,10,6,0.833333,335.286,133.997,9.97572,0.00342991,0.0264423,0.268533,0.0491907,11,8,8,3,3,1,1,4,11,3,172,1,0,0,3,7,3,0,0,0,0,0
279,['org::eclipse::pde::internal::ui::search::ShowDescriptionAction ,13,11,1,0,0,44,2,0,9,544,101,12.3636,310,53,7.04545,234,95,5.31818,305,127.624,23.0656,0.0904989,0.0539942,0.603103,0.0770797,18,1,7,11,66,0,5,0,153,12,0,5,8,0,4,65,28,0,0,0,0,0
280,['org::eclipse::pde::internal::ui::util::ChoicePropertyDescriptor ,0,0,0,0,0,8,1,0,6,50,28,6.25,40,26,5,10,6,1.25,335.286,209.046,6.41569,0.00387292,0.0163241,0.169334,0.0343568,0,1,0,0,1,0,1,0,10,2,0,1,0,0,2,4,3,0,0,0,0,0
281,['org::eclipse::pde::ui::templates::BooleanOption ,0,0,0,0,0,10,1,0,6,113,42,11.3,89,42,8.9,24,42,2.4,333.143,84.6068,6.41569,0.00282556,0.0163241,0.169334,0.0343568,9,3,6,3,15,0,1,0,34,6,23,1,0,0,6,19,11,0,0,0,0,0
282,['org::eclipse::pde::internal::ui::wizards::feature::NewFeatureProjectWizard ,13,12,0,0,1,35,0,0,6,527,283,15.0571,570,368,16.2857,-43,246,-1.22857,240.714,36.527,17.575,0.0976143,0.0337324,0.435284,0.0412355,8,3,2,6,21,0,2,6,33,7,15,2,1,0,4,25,9,0,0,0,0,0
283,['org::eclipse::pde::internal::core::builders::JarManifestErrorReporter ,6,5,1,0,0,9,0,0,4,130,40,14.4444,139,89,15.4444,-9,32,-1,133.571,44.1066,6.60445,0.0319905,0.0194663,0.184495,0.0365434,7,2,1,6,153,1,3,3,245,18,13,0,1,0,1,119,69,0,0,0,0,0
284,['org::eclipse::pde::internal::ui::editor::cheatsheet::comp::actions::CompCSRemoveTaskObjectAction ,1,1,0,0,0,2,0,0,2,8,8,4,11,11,5.5,-3,0,-1.5,98,63.8571,1.76682,0.000473893,0.0100966,0.0617154,0.0339284,3,1,1,2,10,0,2,0,39,5,0,2,1,0,4,12,9,0,0,0,0,0
285,['org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSSourcePage ,4,2,0,0,0,9,0,0,3,163,103,18.1111,89,46,9.88889,74,85,8.22222,64.4286,13.8379,4.41258,0.021928,0.0185832,0.138856,0.0463837,16,4,1,15,105,0,0,0,103,15,70,0,0,0,9,52,27,0,0,0,0,0
286,['org::eclipse::pde::internal::core::builders::UpdateSiteErrorReporter ,2,2,0,0,0,4,0,0,3,18,10,4.5,15,13,3.75,3,6,0.75,133.571,58.9683,4.3792,0.00575621,0.0137402,0.123688,0.0314785,9,3,1,8,21,0,1,5,124,7,65,1,5,0,2,82,45,0,0,0,0,0
287,['org::eclipse::pde::internal::core::WorkspaceModelManager ,17,17,7,5,2,114,2,0,9,2068,547,18.1404,2879,709,25.2544,-811,100,-7.11403,335.286,133.395,27.3621,0.425979,0.0607412,0.706161,0.0782246,34,2,27,7,210,2,2,0,181,21,11,1,2,0,6,95,61,0,0,0,0,0
288,['org::eclipse::pde::internal::runtime::registry::ExtensionPointAdapter ,0,0,0,0,0,3,0,0,2,4,4,1.33333,0,0,0,4,4,1.33333,381,0.571429,0,0,0,0,0,4,3,2,2,1,0,0,1,14,2,5,0,0,0,1,5,3,0,0,0,0,0
289,['org::eclipse::pde::internal::ui::wizards::product::BaseManifestOperation ,1,1,0,0,0,12,0,0,3,271,106,22.5833,81,47,6.75,190,106,15.8333,150.571,11.2177,11.8796,0.0502055,0.0313731,0.320965,0.053463,8,1,2,6,10,2,2,0,43,5,6,1,0,0,1,22,10,0,0,0,0,0
290,['org::eclipse::pde::internal::ui::preferences::XMLSyntaxColorTab ,1,0,0,0,0,12,0,0,3,163,79,13.5833,40,13,3.33333,123,79,10.25,149.143,5.0447,5.24229,0.0159569,0.0179873,0.152022,0.0444688,4,2,1,3,6,0,1,1,30,4,14,1,0,0,1,12,4,0,0,0,0,0
291,['org::eclipse::pde::internal::ui::editor::schema::ElementSection ,27,22,0,0,0,66,2,2,9,2036,286,30.8485,1375,224,20.8333,661,129,10.0152,335.286,180.901,26.2376,0.272418,0.067819,0.705353,0.107311,38,5,4,35,666,0,7,2,627,37,70,7,19,0,10,291,158,0,0,0,0,0
292,['org::eclipse::pde::internal::ui::editor::schema::ElementSectionDragAdapter ,1,1,0,0,0,10,1,0,7,56,18,5.6,51,22,5.1,5,10,0.5,303.571,142.923,7.39875,0.0101825,0.0178081,0.192754,0.0345324,5,1,2,3,45,0,2,0,80,10,0,2,5,0,5,42,24,0,0,0,0,0
293,['org::eclipse::pde::ui::launcher::BundlesTab ,5,4,1,1,0,13,0,0,4,35,9,2.69231,54,28,4.15385,-19,7,-1.46154,104.429,46.1959,9.56944,0.0272052,0.0704335,0.35829,0.190859,4,2,1,3,55,1,3,0,49,11,6,2,0,1,11,26,11,0,0,0,0,0
294,['org::eclipse::pde::internal::ui::wizards::product::ProductFromConfigOperation ,2,2,0,0,0,15,0,0,4,101,26,6.73333,66,16,4.4,35,20,2.33333,190.143,68.7341,15.1351,0.0246781,0.0450429,0.417368,0.101606,12,2,1,11,1,0,1,0,50,2,6,1,0,0,1,32,9,0,0,0,0,0
295,['org::eclipse::pde::internal::ui::refactoring::CreateHeaderChangeOperation ,3,3,0,0,0,5,0,2,2,38,20,7.6,36,35,7.2,2,14,0.4,71.8571,22.0226,5.83014,0.00668139,0.0235508,0.180778,0.0565766,17,1,2,15,15,0,5,0,85,6,6,5,2,0,3,41,21,0,0,0,0,0
296,['org::eclipse::pde::internal::ui::build::PluginExportJob ,2,2,0,0,0,9,0,0,4,19,7,2.11111,94,71,10.4444,-75,7,-8.33333,170.286,46.1429,8.66479,0.0215941,0.0243177,0.237853,0.0451376,2,2,1,1,1,0,0,1,6,2,5,0,0,0,1,3,2,0,0,0,0,0
297,['org::eclipse::pde::internal::ui::editor::schema::SchemaFormOutlinePage ,3,2,0,0,0,22,1,0,8,132,35,6,142,49,6.45455,-10,7,-0.454545,335.286,138.313,11.7129,0.0163425,0.0358245,0.321985,0.0910991,13,3,3,11,45,0,1,4,99,10,21,1,2,0,4,39,33,0,0,0,0,0
298,['org::eclipse::pde::internal::ui::editor::site::SiteLabelProvider ,5,5,0,0,0,11,0,0,5,48,24,4.36364,58,22,5.27273,-10,22,-0.909091,194.143,102.824,10.1348,0.0152872,0.0262155,0.271462,0.0451843,10,1,2,8,6,0,5,0,52,4,0,5,0,0,4,28,19,0,0,0,0,0
299,['org::eclipse::pde::internal::ui::launcher::TracingPropertySource ,4,3,2,0,0,18,1,0,7,449,167,24.9444,393,156,21.8333,56,15,3.11111,335.286,130.322,7.22788,0.0490896,0.0656056,0.298961,0.138708,9,1,1,9,28,0,9,0,92,8,6,9,2,0,6,54,21,1,0,0,0,0
300,['org::eclipse::pde::internal::ui::refactoring::RenamePluginWizardPage ,4,2,0,0,0,5,0,2,2,32,20,6.4,83,74,16.6,-51,3,-10.2,79.8571,33.1875,5.65618,0.0496529,0.0408704,0.211,0.125862,4,2,1,3,10,0,2,1,28,5,7,2,1,0,1,13,6,0,0,0,0,0
301,['org::eclipse::pde::internal::ui::wizards::WizardNode ,1,1,0,0,0,13,2,0,8,86,44,6.61538,74,43,5.69231,12,6,0.923077,335.286,232.954,10.8895,0.0125432,0.037552,0.307941,0.101694,6,1,5,1,21,1,3,0,38,7,6,2,0,0,6,12,9,0,0,0,0,0
302,['org::eclipse::pde::internal::ui::wizards::feature::FeatureSpecPage ,6,6,1,0,0,21,1,0,6,267,73,12.7143,345,209,16.4286,-78,32,-3.71429,240.714,56.2836,9.9241,0.0344885,0.0205227,0.248526,0.0345085,4,2,1,3,36,0,2,7,69,9,20,2,0,0,2,27,13,1,0,0,0,0
303,['org::eclipse::pde::internal::runtime::registry::ExtensionAdapter ,0,0,0,0,0,3,0,0,2,4,4,1.33333,0,0,0,4,4,1.33333,381,0.571429,0,0,0,0,0,5,3,3,2,1,0,0,1,14,2,5,0,0,0,1,5,3,0,0,0,0,0
304,['org::eclipse::pde::internal::ui::wizards::PDEWizardNewFileCreationPage ,1,1,0,0,0,3,0,1,3,22,19,7.33333,6,5,2,16,18,5.33333,83,7.77273,3.20993,0.00916013,0.0135718,0.10044,0.0364377,4,1,2,2,6,5,0,0,25,4,0,0,0,0,1,11,6,0,0,0,0,0
305,['org::eclipse::pde::ui::templates::TemplateOption ,2,2,0,0,0,14,2,0,6,176,72,12.5714,127,72,9.07143,49,72,3.5,333.143,68.6713,5.98276,0.00246646,0.0158814,0.159804,0.0344317,17,2,14,3,55,5,4,0,50,11,12,4,0,0,11,19,17,0,0,0,0,0
306,['org::eclipse::pde::internal::ui::util::LineBreakingReader ,1,0,0,0,0,2,0,0,2,2,2,1,6,6,3,-4,0,-2,111.714,77.5714,1.76682,0.000199534,0.0100966,0.0617154,0.0339284,4,1,1,3,10,0,7,0,77,5,6,7,2,0,3,23,18,1,0,0,0,0
307,['org::eclipse::pde::internal::ui::util::XMLRootElementMatcher ,1,1,0,0,0,2,0,0,2,10,10,5,16,16,8,-6,0,-3,55.1429,21,1.76682,0.000648486,0.0100966,0.0617154,0.0339284,2,1,0,2,1,0,0,0,27,2,6,0,1,0,1,9,2,1,0,0,0,0
308,['org::eclipse::pde::internal::ui::editor::plugin::DependencyManagementSection ,14,10,0,0,0,23,2,0,4,770,219,33.4783,348,263,15.1304,422,219,18.3478,128.429,66.7935,11.6025,0.1664,0.0329527,0.321663,0.0549521,36,5,2,35,780,0,18,2,624,40,74,18,21,0,9,266,126,0,0,0,0,0
309,['org::eclipse::pde::internal::ui::templates::rcp::ViewRCPTemplate ,5,2,0,0,0,6,0,1,4,37,31,6.16667,36,33,6,1,3,0.166667,95.5714,53.0772,7.21846,0.0143621,0.0252565,0.213975,0.0510125,13,5,1,12,105,0,2,13,126,15,80,0,5,0,9,80,21,0,0,0,0,0
310,['org::eclipse::pde::internal::core::text::XMLEditingModel ,4,3,2,1,0,15,0,0,4,440,111,29.3333,86,25,5.73333,354,110,23.6,151.143,62.825,12.5527,0.0759616,0.0444917,0.365311,0.107408,8,5,1,7,45,4,1,5,77,10,66,1,1,0,7,39,11,0,0,0,0,0
311,['org::eclipse::pde::internal::core::SearchablePluginsManager ,18,15,3,1,0,51,1,0,8,886,239,17.3725,677,275,13.2745,209,59,4.09804,307,160.78,27.2338,0.205914,0.0701576,0.724685,0.124462,30,1,9,24,231,0,6,0,293,22,8,5,6,0,16,184,77,0,0,0,0,0
312,['org::eclipse::pde::internal::ui::editor::site::ArchiveSection ,2,1,0,0,0,17,0,0,6,476,213,28,466,298,27.4118,10,189,0.588235,257.429,51.6633,12.0816,0.0255831,0.0277645,0.313029,0.0431372,12,3,1,11,105,0,6,0,179,15,21,6,7,0,8,72,22,0,0,0,0,0
313,['org::eclipse::pde::internal::core::AbstractNLModel ,1,1,0,0,0,7,0,0,4,110,56,15.7143,6,4,0.857143,104,56,14.8571,92.5714,6.81558,8.13388,0.021011,0.0270611,0.23711,0.0521245,9,4,7,2,15,4,2,1,31,6,44,1,0,0,5,14,12,0,0,0,0,0
314,['org::eclipse::pde::internal::ui::editor::feature::IncludedFeaturesSection ,19,15,1,0,1,42,1,0,8,666,179,15.8571,454,123,10.8095,212,66,5.04762,331.714,147.961,15.7846,0.0939523,0.0347609,0.405879,0.0459457,32,5,1,31,378,0,5,2,337,28,73,5,9,0,11,182,73,0,0,0,0,0
315,['org::eclipse::pde::internal::ui::refactoring::RenameProjectChange ,2,1,0,0,0,4,0,1,1,21,17,5.25,26,24,6.5,-5,2,-1.25,79.8571,37.9456,4.63082,0.00267482,0.0176659,0.140528,0.0411674,2,1,1,1,45,0,5,0,52,10,0,5,1,0,9,27,15,0,0,0,0,0
316,['org::eclipse::pde::internal::ui::editor::text::PDESelectAnnotationRulerAction ,1,1,0,0,0,4,0,0,3,11,10,2.75,22,19,5.5,-11,0,-2.75,130,92.974,4.7997,0.00254292,0.0186918,0.146801,0.0438528,1,1,1,0,10,0,5,0,68,5,0,5,1,0,4,19,17,0,0,0,0,0
317,['org::eclipse::pde::internal::ui::wizards::imports::FeatureImportWizard ,3,2,0,0,0,20,2,0,8,243,86,12.15,318,112,15.9,-75,14,-3.75,299.429,178.855,14.2974,0.0909471,0.0310537,0.365666,0.0433387,5,1,0,5,15,0,2,0,49,6,0,2,2,0,4,26,8,0,0,0,0,0
318,['org::eclipse::pde::internal::ui::templates::ide::UniversalWelcomeTemplate ,4,1,0,0,0,5,0,1,3,33,17,6.6,31,26,6.2,2,14,0.4,95.5714,37.0693,5.87009,0.0151196,0.0222232,0.178441,0.0492627,13,5,0,13,105,0,6,13,91,15,80,6,2,0,10,52,20,0,0,0,0,0
319,['org::eclipse::pde::internal::ui::editor::PDEProjectionSourcePage ,3,1,0,0,0,10,1,0,4,327,106,32.7,53,40,5.3,274,106,27.4,122.429,12.1857,6.91542,0.116567,0.019516,0.190289,0.0366319,17,2,7,10,91,2,4,0,107,14,56,4,3,0,7,54,28,1,0,0,0,0
320,['org::eclipse::pde::internal::core::exports::BuildUtilities ,0,0,0,0,0,2,0,0,2,1,1,0.5,1,1,0.5,0,0,0,128.143,92,1.77712,7.79E-05,0.00961856,0.0609203,0.0309529,1,1,0,1,0,0,0,0,10,1,6,0,0,0,1,7,3,0,0,0,0,0
321,['org::eclipse::pde::internal::ui::correction::RemoveRequireBundleResolution ,1,0,0,0,0,5,1,1,4,15,10,3,7,5,1.4,8,10,1.6,150.429,43.819,4.47111,0.00279577,0.0150035,0.129062,0.0354106,2,3,1,1,6,0,1,5,16,4,14,1,0,0,3,9,5,0,0,0,0,0
